model_name,parameter_count_b,numa_nodes,physical_cores,logical_cores,thread_count,cpu_affinity,sm_enabled,benchmark_type,oversubscribed,input_tokens_target,input_tokens_actual,max_output_tokens,context_window,batch_size,load_time_s,file_size_gb,ttft_ms,percentile_ttft_p50,percentile_ttft_p95,decode_rate_tps,percentile_tps_p50,percentile_tps_p95,effective_throughput_tps,parallel_efficiency,per_token_latency_ms,total_runtime_s,static_ram_gb,peak_ram_gb,kv_cache_growth_mb_per_1k,avg_cpu_util_percent,avg_saturated_cores,timeout_s,status,tps_per_billion_params,ram_per_billion_params,ttft_ms_per_billion_params,cies_score
TinyLlama (15M),0.015,1,2,4,2,"[0, 1]",True,prefill,False,1024,1234,128,4096,1,0.07,0.01,14.37,14.37,14.55,,84.12,84.37,84.12,0.62,11.89,1.55,0.05,0.11,43.12,46.23,0.59,300,success,5608.0,7.3333,958.0,
TinyLlama (15M),0.015,1,2,4,2,"[0, 1]",True,prefill,False,2048,2458,128,4096,1,0.07,0.01,18.02,18.02,18.05,,75.27,75.41,75.27,0.62,13.29,1.71,0.05,0.16,43.12,46.97,0.79,600,success,5018.0,10.6667,1201.33,
TinyLlama (15M),0.015,1,2,4,4,"[0, 1, 2, 3]",True,decode,True,short,31,256,4096,1,0.07,0.01,8.42,8.42,8.54,122.87,122.57,123.55,122.57,0.4,8.16,2.1,0.05,0.06,43.12,68.02,0.0,120,success,8171.3333,4.0,561.33,136526.2412
TinyLlama (15M),0.015,1,2,4,4,"[0, 1, 2, 3]",True,decode,True,short,31,1024,4096,1,0.07,0.01,8.38,8.38,8.66,108.94,108.99,110.05,108.99,0.39,9.18,9.39,0.05,0.09,43.12,64.78,0.0,300,success,7266.0,6.0,558.67,80693.6368
TinyLlama (15M),0.015,1,2,4,4,"[0, 1, 2, 3]",True,decode,True,short,31,2048,4096,1,0.07,0.01,8.87,8.87,9.27,94.84,94.83,95.22,94.83,0.38,10.55,21.54,0.05,0.14,43.12,59.9,0.0,600,success,6322.0,9.3333,591.33,45161.6312
TinyLlama (15M),0.015,1,2,4,4,"[0, 1, 2, 3]",True,prefill,True,256,310,128,4096,1,0.07,0.01,9.54,9.54,9.66,,110.81,110.92,110.81,0.39,9.02,1.11,0.05,0.07,43.12,64.61,0.0,120,success,7387.3333,4.6667,636.0,
TinyLlama (15M),0.015,1,2,4,4,"[0, 1, 2, 3]",True,prefill,True,1024,1234,128,4096,1,0.07,0.01,12.12,12.12,12.16,,109.41,109.46,109.41,0.4,9.14,1.19,0.05,0.11,43.12,68.19,0.1,300,success,7294.0,7.3333,808.0,
TinyLlama (15M),0.015,1,2,4,4,"[0, 1, 2, 3]",True,prefill,True,2048,2458,128,4096,1,0.07,0.01,15.56,15.56,15.56,,97.13,97.83,97.13,0.4,10.3,1.33,0.05,0.16,43.12,71.33,0.18,600,success,6475.3333,10.6667,1037.33,
TinyLlama (15M),0.015,1,2,4,8,"[0, 1, 2, 3]",True,decode,True,short,31,256,4096,1,0.07,0.01,8.71,8.71,9.17,115.7,115.49,116.29,115.49,0.19,8.66,2.23,0.05,0.06,43.12,63.62,0.0,120,success,7699.3333,4.0,580.67,128553.9284
TinyLlama (15M),0.015,1,2,4,8,"[0, 1, 2, 3]",True,decode,True,short,31,1024,4096,1,0.07,0.01,8.79,8.79,8.86,105.57,105.61,105.86,105.61,0.19,9.47,9.69,0.05,0.09,43.12,61.96,0.0,300,success,7040.6667,6.0,586.0,78196.5309
